Countries and areas,Latitude,Longitude,Year,BCG,DTP1,DTP3,Polio3,MCV1,MCV2 (F),HepB3,Hib3,Rota,PCV3,All Immunization Received?
Ecuador,-1.8312,-78.1834,2021,75,78,72,62,65,58,68,68,60,62,Yes
Egypt,26.8206,30.8025,2021,97,97,96,96,96,96,96,96,,,No
El Salvador,13.7942,-88.8965,2021,78,72,79,79,86,71,79,80,78,94,Yes
Equatorial Guinea,1.6508,10.2679,2021,85,77,53,55,53,17,53,53,,,No
Eritrea,15.1794,39.7823,2021,97,97,95,95,93,85,95,95,96,95,Yes
Estonia,58.5953,25.0136,2021,90,91,90,89,89,84,84,89,80,,No
Eswatini,-26.5225,31.4659,2021,97,86,77,61,80,69,77,77,85,63,Yes
Ethiopia,9.145,40.4897,2021,68,70,65,68,54,46,65,65,65,61,Yes
Fiji,-17.7134,178.065,2021,99,99,99,99,96,94,99,99,99,99,Yes
Finland,61.9241,25.7482,2021,,98,89,89,93,93,,89,80,82,No
France,46.6034,1.8883,2021,,99,96,96,92,86,91,95,,92,No
Gabon,-0.8037,11.6094,2021,86,76,75,69,64,,75,75,,,No
Gambia,13.4432,-15.3101,2021,81,82,82,89,79,67,82,82,79,78,Yes
Georgia,42.3154,43.3569,2021,96,97,85,85,90,81,85,85,76,82,Yes
